name,ra,dec,radius,year,temperature
2170.01,164.313856,89.086923,2.6677,2020,950
2173.01,145.799111,87.86853,3.20704,2020,1713
1691.01,272.404118,86.860343,3.495124,2020,707.833472
1671.01,130.969393,86.228398,11.75,2020,649
2287.01,222.75079,85.895391,1.949042,2020,898.936882
1153.01,182.691562,85.705076,8.323102,2019,1526.209473
1612.01,277.478075,85.233321,15.598119,2019,1632.949275
1135.01,193.39637,85.129495,8.818492,2019,1011.023495
2267.01,65.061496,84.900824,1.205886,2020,400.323809
1652.01,188.3547,84.678957,3.37304,2020,2202
2167.01,242.364094,84.491119,17.8168,2020,563
2155.01,5.800269,84.452839,10.8811,2020,1426
1873.01,212.568476,84.371858,4.90235,2020,1009
1873.02,212.568476,84.371858,3.959313,2020,554.690031
1873.03,212.568476,84.371858,2.896515,2020,923.324378
2154.01,71.028148,84.364265,16.1024,2020,1501
1611.01,325.201645,84.333761,2.370706,2019,573.55796
1647.01,207.874218,84.071615,20.7856,2020,1191
1239.01,158.011286,84.030377,4.454297,2019,640.028517
1669.01,45.956474,83.587427,2.248112,2020,1308.205712
2105.01,181.064438,83.438034,2.158574,2020,561.019586
1147.01,266.962207,83.428826,25.4722,2019,891
1739.01,240.172481,83.258659,2.015675,2020,690.374232
2263.01,237.961131,83.110888,1.633089,2020,245.424045
2104.01,151.612215,83.08784,1.370264,2020,920.26909
2104.02,151.612215,83.08784,1.544811,2020,755.917693
2147.01,155.641594,83.083724,10.5346,2020,741
1200.01,222.841424,82.952258,7.17826,2019,2596
1705.01,132.635012,82.92712,4.77738,2020,1144
2078.01,227.179973,82.446925,2.538544,2020,816.966378
2053.01,310.331372,82.435302,15.872,2020,1030
1659.01,277.925194,82.305949,2.059293,2020,1031.136979
2025.01,282.795256,82.245414,12.2755,2020,996
1180.01,214.555774,82.193764,2.847205,2019,621.872192
2032.01,333.311732,81.739729,15.5178,2020,
2031.01,331.117808,81.565951,13.8404,2020,1344
2038.01,293.914601,81.554791,16.335,2020,2019
1187.01,162.893176,81.322174,5.08926,2019,1624
2277.01,273.497311,80.658462,3.378911,2020,644.262174
1141.01,247.534722,80.307766,13.617156,2019,758.60968
2080.01,250.382981,80.04588,3.037177,2020,339.791185
2299.01,286.227961,79.755949,3.773171,2020,297.694743
2273.01,81.240221,79.74934,2.255817,2020,582.500528
1715.01,79.073505,79.737727,8.169145,2020,1795.944408
1893.01,326.438392,79.613939,3.96469,2020,797.124605
1258.01,209.484313,79.583322,4.349677,2019,1059.387944
2144.01,350.25314,79.441782,2.307212,2020,485.220883
2574.01,232.809527,79.267227,18.7098,2021,1148
1259.01,282.100166,79.256476,12.339012,2019,897.204322
1890.01,279.744502,79.23835,10.215659,2020,759.620566
1762.01,17.915004,79.165492,3.921671,2020,637.046673
1757.01,255.400714,79.067126,1.71576,2020,970.753678
1829.01,290.877426,78.754217,16.201104,2020,961.509098
2264.01,295.927746,78.725919,4.232144,2020,373.100558
1522.01,314.269036,78.674917,4.45612,2019,2210
1692.01,279.46436,78.61111,5.146516,2020,909.543299
1692.02,279.46436,78.61111,9.91267,2020,821
1816.01,257.139454,78.587055,2.42982,2020,
2110.01,282.229631,78.568946,3.20531,2020,693
1623.01,5.420651,77.880071,6.67879,2019,
2152.01,26.338972,77.790123,16.728,2020,1700
1877.01,249.519983,77.756401,14.3005,2020,1256
2257.01,194.739614,77.661716,2.355605,2020,134.9591
1756.01,306.328774,77.636412,2.001922,2020,696.400693
1615.01,351.174718,77.627113,24.053301,2019,1543
2562.01,292.018975,77.378608,13.7265,2021,1332
1143.01,182.538652,77.352264,13.4737,2019,
1871.01,251.235703,77.344038,8.60495,2020,1560
1814.01,236.816882,77.232643,4.74434,2020,1077
2161.01,304.444709,77.166678,1.15191,2020,1275
2269.01,264.147896,77.126216,1.197425,2020,890.316292
2269.02,264.147896,77.126216,1.438457,2020,706.649531
2269.03,264.147896,77.126216,1.799354,2020,458.466621
1668.01,348.607533,76.93432,3.79344,2020,2871
2100.01,205.59347,76.647981,2.800153,2020,561.884055
1640.01,44.338874,76.551405,1.257162,2020,560.784603
