pl_name,hostname,disc_year,radius,temperature,mass,ra,dec,habitable
11 Com b,11 Com,2007,,,6165.6,185.1787793,17.7932516,FALSE
11 UMi b,11 UMi,2009,,,4684.8142,229.2745954,71.8239428,FALSE
14 And b,14 And,2008,,,1525.5,352.82415,39.2358367,FALSE
14 Her b,14 Her,2002,,,1481.0878,242.6021014,43.8163621,FALSE
16 Cyg B b,16 Cyg B,1996,,,565.7374,295.4656422,50.5168243,FALSE
18 Del b,18 Del,2008,,,3273.5,314.6078375,10.8391378,FALSE
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,,1700,3000,242.3762343,-21.0831403,FALSE
24 Boo b,24 Boo,2018,,,289.2253,217.1555242,49.8446488,FALSE
24 Sex b,24 Sex,2010,,,632.46,155.8684866,-0.9023998,FALSE
24 Sex c,24 Sex,2010,,,273.32,155.8684866,-0.9023998,FALSE
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2013,,,4131.79,15.8992489,-55.2658291,FALSE
2MASS J01225093-2439505 b,2MASS J01225093-2439505,2013,,,7786.5,20.7128012,-24.6646128,FALSE
2MASS J02192210-3925225 b,2MASS J02192210-3925225,2015,16.141,,4417.837,34.8427046,-39.4230767,FALSE
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2010,,,2383.6,70.4371079,23.0308544,FALSE
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2004,,1250,1589.15,181.8890906,-39.5484399,FALSE
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2015,,,603.877,294.6359173,46.0664076,FALSE
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,2009,10.31,2075,6657.48,325.1218214,16.4213408,FALSE
2MASS J22362452+4751425 b,2MASS J22362452+4751425,2016,,,3972.875,339.1025931,47.861683,FALSE
30 Ari B b,30 Ari B,2009,,,4392.4106,39.2412736,24.6480103,FALSE
4 UMa b,4 UMa,2006,,,2256.5,130.0528099,64.3280504,FALSE
42 Dra b,42 Dra,2008,,,1233.13,276.4975053,65.5633652,FALSE
47 UMa b,47 UMa,1996,,,804.08,164.8647611,40.4304931,FALSE
47 UMa c,47 UMa,2001,,,171.621,164.8647611,40.4304931,FALSE
47 UMa d,47 UMa,2009,,,521.22,164.8647611,40.4304931,FALSE
51 Eri b,51 Eri,2015,,700,635.66,69.4007424,-2.4738245,FALSE
51 Peg b,51 Peg,1995,,,150.009,344.3675399,20.7690958,FALSE
55 Cnc b,55 Cnc,1996,,,255.4,133.1468373,28.3298154,FALSE
55 Cnc c,55 Cnc,2004,,,51.2,133.1468373,28.3298154,FALSE
55 Cnc d,55 Cnc,2002,,,991.6,133.1468373,28.3298154,FALSE
55 Cnc e,55 Cnc,2004,1.875,,7.99,133.1468373,28.3298154,FALSE
55 Cnc f,55 Cnc,2007,,,47.8,133.1468373,28.3298154,FALSE
6 Lyn b,6 Lyn,2008,,,638.8383,97.6960311,58.1611753,FALSE
61 Vir b,61 Vir,2009,,,5.1,199.596455,-18.3157745,FALSE
61 Vir c,61 Vir,2009,,,18.2,199.596455,-18.3157745,FALSE
61 Vir d,61 Vir,2009,,,22.9,199.596455,-18.3157745,FALSE
7 CMa b,7 CMa,2011,,,587.9855,99.171276,-19.2561808,FALSE
7 CMa c,7 CMa,2019,,,276.5121,99.171276,-19.2561808,FALSE
70 Vir b,70 Vir,1996,,,2357.02728,202.1064898,13.7763085,FALSE
75 Cet b,75 Cet,2012,,,953.49,38.0391598,-1.0350269,FALSE
8 UMi b,8 UMi,2015,,,416.3573,224.201685,74.9009379,FALSE
81 Cet b,81 Cet,2008,,,1684.4,39.4243555,-3.3963607,FALSE
91 Aqr b,91 Aqr,2013,,,1017,348.9745031,-9.0878076,FALSE
AB Pic b,AB Pic,2005,,,4290.5,94.8039208,-58.0541184,FALSE
AU Mic b,AU Mic,2020,4.203,,57.2094,311.2911369,-31.34245,FALSE
BD+03 2562 b,BD+03 2562,2017,,,2034.112,177.5647268,2.7601075,FALSE
BD+14 4559 b,BD+14 4559,2009,,,330.5432,318.4010002,14.6893834,FALSE
BD+15 2375 b,BD+15 2375,2016,,,337.21763,176.4820239,14.6163182,FALSE
BD+15 2940 b,BD+15 2940,2013,,,352.78,240.09564,15.5467507,FALSE
BD+20 2457 b,BD+20 2457,2009,,,17668.1697,154.186782,19.8912626,FALSE
BD+20 2457 c,BD+20 2457,2009,,,3963.17,154.186782,19.8912626,FALSE
BD+20 274 b,BD+20 274,2012,,,1334.886,25.9203179,21.0052692,FALSE
BD+20 594 b,BD+20 594,2016,2.578,,22.2481,53.6511231,20.5990205,FALSE
BD+45 564 b,BD+45 564,2021,,,432.24663,32.9470485,45.9242187,FALSE
BD+48 738 b,BD+48 738,2011,,,289.2253,40.7102869,49.5869395,FALSE
BD+48 740 b,BD+48 740,2018,,,540.311,40.7425426,48.9300579,FALSE
BD+49 828 b,BD+49 828,2015,,,508.5,45.6406187,49.7299481,FALSE
BD+55 362 b,BD+55 362,2021,,,228.83645,23.9636676,56.6982282,FALSE
BD+63 1405 b,BD+63 1405,2021,,,1258.60049,271.3979337,63.6700064,FALSE
BD-00 4475 b,BD-00 4475,2021,,,7961.6016,347.7108441,0.4085612,FALSE
BD-06 1339 b,BD-06 1339,2013,,,8.5,88.2511811,-5.9963378,FALSE
BD-06 1339 c,BD-06 1339,2013,,,53,88.2511811,-5.9963378,FALSE
BD-08 2823 b,BD-08 2823,2009,,,12.7132,150.1971964,-9.5165689,FALSE
BD-08 2823 c,BD-08 2823,2009,,,104,150.1971964,-9.5165689,FALSE
BD-10 3166 b,BD-10 3166,2000,,,187.5197,164.6191243,-10.7704227,FALSE
BD-11 4672 b,BD-11 4672,2014,,,206.5895,278.3688659,-11.6370481,FALSE
BD-11 4672 c,BD-11 4672,2020,,,15.37,278.3688659,-11.6370481,FALSE
BD-13 2130 b,BD-13 2130,2007,,,3108.3774,114.2884692,-13.9066703,FALSE
BD-17 63 b,BD-17 63,2008,,,1620.9,7.1413494,-16.2273254,FALSE
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2011,,370,3337.1,224.6208333,10.2286111,FALSE
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,2021,20.849,1800,2479.06157,246.934277,-23.98115,FALSE
CHXR 73 b,CHXR 73,2006,,,3994.486,166.6193985,-77.6258725,FALSE
CI Tau b,CI Tau,2019,,,3686.828,68.4667685,22.8416192,FALSE
CT Cha b,CT Cha,2007,24.66,2600,5403,166.0375038,-76.4553693,FALSE
CoRoT-1 b,CoRoT-1,2008,16.7,1898,327.35,102.0798591,-3.1021394,FALSE
CoRoT-10 b,CoRoT-10,2010,10.87,600,874,291.0636813,0.7460143,FALSE
CoRoT-11 b,CoRoT-11,2010,16.03,1657,740.51,280.6872998,5.9376586,FALSE
CoRoT-12 b,CoRoT-12,2010,16.14,1442,291.438,100.7656871,-1.2964437,FALSE
CoRoT-13 b,CoRoT-13,2010,9.92,1700,415.704,102.7211432,-5.0864557,FALSE
CoRoT-14 b,CoRoT-14,2010,12.22,1952,2415.4,103.4242023,-5.5360385,FALSE
CoRoT-16 b,CoRoT-16,2011,13.11,,170.032,278.5246658,-6.0026026,FALSE
CoRoT-17 b,CoRoT-17,2011,11.43,1626,772.29,278.699236,-6.612288,FALSE
CoRoT-18 b,CoRoT-18,2011,14.68,1550,1102.82,98.1724172,-0.0316045,FALSE
CoRoT-19 b,CoRoT-19,2011,14.46,2000,352.78,97.0335983,-0.1707293,FALSE
CoRoT-2 b,CoRoT-2,2008,16.432,,1102.82,291.7770457,1.3836634,FALSE
CoRoT-20 b,CoRoT-20,2011,,,1366.669,97.7204249,0.2268931,FALSE
CoRoT-20 c,CoRoT-20,2018,,,5403.11,97.7204249,0.2268931,FALSE
CoRoT-21 b,CoRoT-21,2012,14.572,,718.2958,101.0526207,-0.2991544,FALSE
CoRoT-22 b,CoRoT-22,2014,4.88,885,12.2,280.6671392,6.2191669,FALSE
CoRoT-23 b,CoRoT-23,2011,11.77,1660,889.9,279.7826586,4.3577516,FALSE
CoRoT-24 b,CoRoT-24,2014,3.7,1070,5.7,101.922543,-3.7192892,FALSE
CoRoT-24 c,CoRoT-24,2014,5,850,28,101.922543,-3.7192892,FALSE
CoRoT-25 b,CoRoT-25,2013,12.11,1330,85.81,280.6296561,6.5138223,FALSE
CoRoT-26 b,CoRoT-26,2013,14.12,1600,165.26,279.7504991,6.9697828,FALSE
