symbol,size,price,timestamp
VICI,100,23.35,2019-10-21 13:47:12.287461181
ERIC,100,9.085,2019-10-21 10:42:49.356416435
VER,2000,9.905,2019-10-21 13:00:16.837804490
SWK,100,149.84,2019-10-21 14:06:46.720249154
PE,100,15.515,2019-10-21 13:14:39.015867086
GOOGL,1,1245.97,2019-10-21 12:38:48.294454842
GE,100,8.94,2019-10-21 10:15:48.614275656
SYF,100,34.915,2019-10-21 13:24:04.304704586
CCJ,10,9.18,2019-10-21 13:29:40.998224943
PII,100,91.38,2019-10-21 15:41:15.516264193
PHYS,100,11.925,2019-10-21 15:49:30.600459305
SAVE,47,37.9,2019-10-21 15:54:47.893197493
RBCN,100,8.6,2019-10-21 15:29:51.301281353
SPY,1,299.955,2019-10-21 15:05:49.524527558
DISCA,3,27.77,2019-10-21 14:15:04.781425562
HP,100,38.09,2019-10-21 11:07:56.010182000
T,100,38.58,2019-10-21 09:44:41.630983008
JCI,1,42.665,2019-10-21 12:39:23.936507445
BABA,100,171.395,2019-10-21 09:35:05.300401569
WBT,3,18.19,2019-10-21 14:46:40.450020031
CHH,200,86.51,2019-10-21 11:52:19.181420100
F,1,9.1,2019-10-21 11:39:13.477118372
MRK,1,84.495,2019-10-21 14:51:38.063184595
VNE,100,16.69,2019-10-21 14:19:04.002407633
BAX,100,88.75,2019-10-21 14:08:49.322914539
HLT,1,92.085,2019-10-21 10:40:20.023838441
TSM,500,49.755,2019-10-21 11:19:18.064999159
RCL,37,111.825,2019-10-21 13:50:41.017203152
NUAN,100,15.95,2019-10-21 10:05:00.399696102
BTZ,100,13.49,2019-10-21 12:11:39.337586721
NFLX,7,276.01,2019-10-21 14:15:42.858781902
CLF,100,6.965,2019-10-21 10:23:08.323414970
SPWR,200,10.14,2019-10-21 11:40:15.498294548
NRG,100,40.38,2019-10-21 09:54:05.203031380
VTEB,204,53.465,2019-10-21 15:09:06.631527820
GDX,500,26.565,2019-10-21 15:57:56.590740076
NAVI,100,11.99,2019-10-21 14:18:42.909400893
CTL,21,12.76,2019-10-21 10:01:48.612788300
JD,100,30.955,2019-10-21 14:38:23.068194024
ORC,44,5.795,2019-10-21 10:18:16.055237410
CI,100,167.13,2019-10-21 10:54:30.028716413
XME,87,25.81,2019-10-21 15:58:30.251754363
HPE,100,16.255,2019-10-21 13:56:18.204507369
MDCO,100,57.38,2019-10-21 13:35:37.371151996
LQD,100,126.885,2019-10-21 12:52:11.851359986
VST,9,27.06,2019-10-21 10:41:10.371102350
PAGS,100,38.91,2019-10-21 15:32:38.294388370
CARE,299,19.68,2019-10-21 13:21:54.363971932
PCG,100,8.065,2019-10-21 12:01:44.196918887
WDAY,100,155.045,2019-10-21 12:31:41.970758247
CCI,1,143.245,2019-10-21 15:29:01.938253935
JPM,90,123.545,2019-10-21 15:54:00.837571449
ZM,600,65.18,2019-10-21 12:47:17.142634830
FTI,200,23.355,2019-10-21 14:01:04.431143311
ETFC,81,41.22,2019-10-21 10:31:36.846021846
WNC,200,14.675,2019-10-21 15:59:29.232861283
DOCU,27,65.9,2019-10-21 15:54:44.309860832
DIS,100,130.3,2019-10-21 15:50:00.028171638
TEVA,100,7.615,2019-10-21 10:04:51.501759805
GM,100,36.345,2019-10-21 10:14:43.493801802
OLLI,23,62.44,2019-10-21 11:14:15.135675238
AMZN,50,1784.77,2019-10-21 15:04:14.349767124
QEP,400,2.715,2019-10-21 14:14:15.397101426
ABT,100,82.175,2019-10-21 13:59:05.652223356
INFY,100,9.145,2019-10-21 10:42:08.903133017
OLLI,100,63.51,2019-10-21 09:45:41.892046604
BEAT,300,39.785,2019-10-21 15:09:46.247622110
FIS,100,128.895,2019-10-21 15:53:30.353155897
LEN,324,62.2,2019-10-21 10:19:56.284888562
UPWK,100,14.565,2019-10-21 15:34:40.510346872
PG,100,118.81,2019-10-21 11:20:55.163783398
VRAY,200,2.485,2019-10-21 15:18:25.007567730
HUM,1,289.36,2019-10-21 10:23:11.309186460
AL,1,43.47,2019-10-21 15:34:54.030925217
KLAC,100,162.565,2019-10-21 14:00:04.747881007
COUP,100,127.39,2019-10-21 11:28:26.900325681
