num,desc,category,category_desc
0,Not available,0,Unknown
1,Reserved,0,Unknown
2,Reserved,0,Unknown
3,Reserved,0,Unknown
4,Reserved,0,Unknown
5,Reserved,0,Unknown
6,Reserved,0,Unknown
7,Reserved,0,Unknown
8,Reserved,0,Unknown
9,Reserved,0,Unknown
10,Reserved,0,Unknown
11,Reserved,0,Unknown
12,Reserved,0,Unknown
13,Reserved,0,Unknown
14,Reserved,0,Unknown
15,Reserved,0,Unknown
16,Reserved,0,Unknown
17,Reserved,0,Unknown
18,Reserved,0,Unknown
19,Reserved,0,Unknown
20,"Wing in ground (WIG), all ships of this type",1,WIG
21,"Wing in ground (WIG), Hazardous category A",1,WIG
22,"Wing in ground (WIG), Hazardous category B",1,WIG
23,"Wing in ground (WIG), Hazardous category C",1,WIG
24,"Wing in ground (WIG), Hazardous category D",1,WIG
25,"Wing in ground (WIG), Reserved for future use",1,WIG
26,"Wing in ground (WIG), Reserved for future use",1,WIG
27,"Wing in ground (WIG), Reserved for future use",1,WIG
28,"Wing in ground (WIG), Reserved for future use",1,WIG
29,"Wing in ground (WIG), Reserved for future use",1,WIG
30,Fishing,2,Fishing
31,Towing,3,Towing
32,Towing: length exceeds 200m or breadth exceeds 25m,3,Towing
33,Dredging or underwater ops,4,Dredging
34,Diving ops,5,Diving
35,Military ops,6,Military
36,Sailing,7,Sailing
37,Pleasure Craft,8,Pleasure
38,Reserved,0,Unknown
39,Reserved,0,Unknown
40,"High speed craft (HSC), all ships of this type",9,High Speed
41,"High speed craft (HSC), Hazardous category A",9,High Speed
42,"High speed craft (HSC), Hazardous category B",9,High Speed
43,"High speed craft (HSC), Hazardous category C",9,High Speed
44,"High speed craft (HSC), Hazardous category D",9,High Speed
45,"High speed craft (HSC), Reserved for future use",9,High Speed
46,"High speed craft (HSC), Reserved for future use",9,High Speed
47,"High speed craft (HSC), Reserved for future use",9,High Speed
48,"High speed craft (HSC), Reserved for future use",9,High Speed
49,"High speed craft (HSC), No additional information",9,High Speed
50,Pilot Vessel,10,Pilot Vessel
51,Search and Rescue vessel,11,Search and Rescue vessel
52,Tug,12,Tug
53,Port Tender,18,Passenger
54,Anti-pollution equipment,13,Industrial
55,Law Enforcement,14,Law Enforcement
56,Spare - Local Vessel,15,Spare
57,Spare - Local Vessel,15,Spare
58,Medical Transport,16,Medical Transport
59,Noncombatant ship according to RR Resolution No. 18,17,Noncombatant
60,"Passenger, all ships of this type",18,Passenger
61,"Passenger, Hazardous category A",18,Passenger
62,"Passenger, Hazardous category B",18,Passenger
63,"Passenger, Hazardous category C",18,Passenger
64,"Passenger, Hazardous category D",18,Passenger
65,"Passenger, Reserved for future use",18,Passenger
66,"Passenger, Reserved for future use",18,Passenger
67,"Passenger, Reserved for future use",18,Passenger
68,"Passenger, Reserved for future use",18,Passenger
69,"Passenger, No additional information",18,Passenger
70,"Cargo, all ships of this type",19,Cargo
71,"Cargo, Hazardous category A",19,Cargo
72,"Cargo, Hazardous category B",19,Cargo
73,"Cargo, Hazardous category C",19,Cargo
74,"Cargo, Hazardous category D",19,Cargo
75,"Cargo, Reserved for future use",19,Cargo
76,"Cargo, Reserved for future use",19,Cargo
77,"Cargo, Reserved for future use",19,Cargo
78,"Cargo, Reserved for future use",19,Cargo
79,"Cargo, No additional information",19,Cargo
80,"Tanker, all ships of this type",20,Tanker
81,"Tanker, Hazardous category A",20,Tanker
82,"Tanker, Hazardous category B",20,Tanker
83,"Tanker, Hazardous category C",20,Tanker
84,"Tanker, Hazardous category D",20,Tanker
85,"Tanker, Reserved for future use",20,Tanker
86,"Tanker, Reserved for future use",20,Tanker
87,"Tanker, Reserved for future use",20,Tanker
88,"Tanker, Reserved for future use",20,Tanker
89,"Tanker, No additional information",20,Tanker
90,"Other Type, all ships of this type",21,Other
91,"Other Type, Hazardous category A",21,Other
92,"Other Type, Hazardous category B",21,Other
93,"Other Type, Hazardous category C",21,Other
94,"Other Type, Hazardous category D",21,Other
95,"Other Type, Reserved for future use",21,Other
96,"Other Type, Reserved for future use",21,Other
97,"Other Type, Reserved for future use",21,Other
98,"Other Type, Reserved for future use",21,Other
99,"Other Type, no additional information",21,Other
100,Reserved for future use,0,Unknown
101,Reserved for future use,0,Unknown
102,Reserved for future use,0,Unknown
103,Reserved for future use,0,Unknown
